Lemma,Sentiment Level
unprofessionalism,1.1666666666666667
argumentative,1.3333333333333333
unethical,1.3714285714285714
inexcusable,1.4651162790697674
disrespectful,1.4722222222222223
livid,1.4857142857142858
incompetent,1.4859154929577465
unconcerned,1.5
disgusted,1.5081967213114753
gall,1.5294117647058822
violently,1.5294117647058822
negligence,1.5333333333333334
disturbingly,1.5454545454545454
uneatable,1.5555555555555556
discrimination,1.5555555555555556
sarcastically,1.56
unprofessional,1.5625
authorization,1.5625
fraud,1.5714285714285714
unmelted,1.5833333333333333
disgrace,1.6097560975609757
incompetence,1.6153846153846154
dishwater,1.6153846153846154
refund,1.620879120879121
feces,1.625
furious,1.631578947368421
carelessness,1.6363636363636365
scum,1.64
liar,1.6428571428571428
fuming,1.6428571428571428
scam,1.6666666666666667
uncalled,1.6666666666666667
unhelpful,1.67
sham,1.6818181818181819
rudely,1.6862745098039216
negligent,1.6875
compensation,1.6883116883116882
oversold,1.6923076923076923
reimbursement,1.6923076923076923
accused,1.697674418604651
worst,1.6985723556132382
dispute,1.7017543859649122
unacceptable,1.7088607594936709
mortified,1.72
twiddling,1.7272727272727273
rancid,1.728813559322034
apathy,1.7333333333333334
riddance,1.7333333333333334
deceitful,1.7333333333333334
disrespect,1.75
unapologetic,1.7619047619047619
appalling,1.7659574468085106
unclean,1.7692307692307692
retrain,1.7692307692307692
shameful,1.7741935483870968
unusable,1.7894736842105263
lied,1.7914110429447854
insult,1.794701986754967
marijuana,1.8
insulting,1.8
degrading,1.8
poisoning,1.8036529680365296
supervisor,1.8068181818181819
decency,1.8181818181818181
insincere,1.8181818181818181
scathing,1.8181818181818181
undesirable,1.8235294117647058
disgusting,1.828235294117647
vomiting,1.829268292682927
condescending,1.845679012345679
uncaring,1.85
greed,1.85
refusal,1.8571428571428572
deplorable,1.8620689655172413
rectify,1.8627450980392157
horrible,1.8654104979811574
smudged,1.8666666666666667
thief,1.8666666666666667
bedbug,1.8666666666666667
threaten,1.875
rudeness,1.8764044943820224
stank,1.8823529411764706
dismissive,1.8846153846153846
disorganization,1.894736842105263
diarrhea,1.8983050847457628
inedible,1.9
audacity,1.901639344262295
rude,1.9037414965986394
cockroach,1.9090909090909092
filthy,1.9151943462897527
unreliable,1.9166666666666667
hostage,1.9166666666666667
correspondence,1.9166666666666667
rotten,1.9189189189189189
dishonest,1.9206349206349207
blamed,1.922077922077922
documentation,1.9230769230769231
